# Pop ID	Private	Sites	Variant Sites	Polymorphic Sites	% Polymorphic Loci	Num Indv	Var	StdErr	P	Var	StdErr	Obs Het	Var	StdErr	Obs Hom	Var	StdErr	Exp Het	Var	StdErr	Exp Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
CXD	3659	6972562.0000	74218.0000	13975.0000	0.2004	3.9987	0.6170	0.0003	0.9996	0.0001	0.0000	0.0005	0.0002	0.0000	0.9995	0.0002	0.0000	0.0006	0.0002	0.0000	0.9994	0.0002	0.0000	0.0007	0.0003	0.0000	0.0005	48.9095	0.0003
DH	4958	7921390.0000	84646.0000	18315.0000	0.2312	4.0705	0.5540	0.0003	0.9995	0.0001	0.0000	0.0006	0.0002	0.0000	0.9994	0.0002	0.0000	0.0007	0.0003	0.0000	0.9993	0.0003	0.0000	0.0008	0.0003	0.0000	0.0005	48.8946	0.0003
LCG07	6331	8418999.0000	90147.0000	21962.0000	0.2609	4.4773	0.5249	0.0002	0.9995	0.0001	0.0000	0.0006	0.0002	0.0000	0.9994	0.0002	0.0000	0.0008	0.0003	0.0000	0.9992	0.0003	0.0000	0.0009	0.0003	0.0000	0.0006	48.8818	0.0002
JDS	6435	8436287.0000	90507.0000	21760.0000	0.2579	3.8495	0.1278	0.0001	0.9994	0.0002	0.0000	0.0007	0.0003	0.0000	0.9993	0.0003	0.0000	0.0008	0.0003	0.0000	0.9992	0.0003	0.0000	0.0009	0.0004	0.0000	0.0006	48.8821	0.0001
LCG09	3308	6902349.0000	73097.0000	13397.0000	0.1941	4.1936	0.6391	0.0003	0.9996	0.0001	0.0000	0.0005	0.0002	0.0000	0.9995	0.0002	0.0000	0.0006	0.0002	0.0000	0.9994	0.0002	0.0000	0.0007	0.0003	0.0000	0.0004	48.9103	0.0003
XH	5787	8253888.0000	88244.0000	20984.0000	0.2542	4.4509	0.5453	0.0003	0.9995	0.0001	0.0000	0.0006	0.0002	0.0000	0.9994	0.0002	0.0000	0.0008	0.0003	0.0000	0.9992	0.0003	0.0000	0.0009	0.0003	0.0000	0.0006	48.8846	0.0003
FQ	4298	7441173.0000	79333.0000	16352.0000	0.2198	4.2721	0.6125	0.0003	0.9995	0.0001	0.0000	0.0005	0.0002	0.0000	0.9995	0.0002	0.0000	0.0007	0.0002	0.0000	0.9993	0.0002	0.0000	0.0008	0.0003	0.0000	0.0006	48.9010	0.0003
CX	6636	8518090.0000	91258.0000	23048.0000	0.2706	4.5655	0.4823	0.0002	0.9995	0.0001	0.0000	0.0006	0.0002	0.0000	0.9994	0.0002	0.0000	0.0008	0.0003	0.0000	0.9992	0.0003	0.0000	0.0009	0.0004	0.0000	0.0006	48.8771	0.0002
DF	6439	8451834.0000	90506.0000	22434.0000	0.2654	4.5075	0.5030	0.0002	0.9995	0.0001	0.0000	0.0006	0.0002	0.0000	0.9994	0.0002	0.0000	0.0008	0.0003	0.0000	0.9992	0.0003	0.0000	0.0009	0.0004	0.0000	0.0006	48.8796	0.0002
Q	5864	8261492.0000	88396.0000	20732.0000	0.2509	4.4438	0.5465	0.0003	0.9995	0.0001	0.0000	0.0006	0.0002	0.0000	0.9994	0.0002	0.0000	0.0007	0.0003	0.0000	0.9993	0.0003	0.0000	0.0009	0.0003	0.0000	0.0006	48.8860	0.0003
H	1762	4805335.0000	50867.0000	7732.0000	0.1609	3.8447	0.6125	0.0004	0.9997	0.0001	0.0000	0.0004	0.0001	0.0000	0.9996	0.0001	0.0000	0.0005	0.0002	0.0000	0.9995	0.0002	0.0000	0.0006	0.0002	0.0000	0.0004	48.9274	0.0004
HM	9243	4997914.0000	53650.0000	6372.0000	0.1275	4.2425	0.6127	0.0004	0.9997	0.0001	0.0000	0.0003	0.0001	0.0000	0.9997	0.0001	0.0000	0.0004	0.0001	0.0000	0.9996	0.0001	0.0000	0.0005	0.0002	0.0000	0.0003	48.9414	0.0004
