# Pop ID	Private	Sites	Variant Sites	Polymorphic Sites	% Polymorphic Loci	Num Indv	Var	StdErr	P	Var	StdErr	Obs Het	Var	StdErr	Obs Hom	Var	StdErr	Exp Het	Var	StdErr	Exp Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
CXD	1927	3451261.0000	36589.0000	6896.0000	0.1998	3.5282	0.4532	0.0004	0.9996	0.0001	0.0000	0.0006	0.0003	0.0000	0.9994	0.0003	0.0000	0.0006	0.0002	0.0000	0.9994	0.0002	0.0000	0.0007	0.0003	0.0000	0.0003	48.9059	0.0004
DH	4863	6152432.0000	65620.0000	15609.0000	0.2537	3.5686	0.4155	0.0003	0.9994	0.0002	0.0000	0.0008	0.0003	0.0000	0.9992	0.0003	0.0000	0.0008	0.0003	0.0000	0.9992	0.0003	0.0000	0.0009	0.0004	0.0000	0.0004	48.8812	0.0003
LCG07	6640	6889682.0000	73678.0000	20358.0000	0.2955	4.1510	0.6299	0.0003	0.9994	0.0002	0.0000	0.0008	0.0003	0.0000	0.9992	0.0003	0.0000	0.0009	0.0003	0.0000	0.9991	0.0003	0.0000	0.0010	0.0004	0.0000	0.0005	48.8623	0.0003
JDS	8487	7680643.0000	82455.0000	25486.0000	0.3318	3.8074	0.1555	0.0001	0.9993	0.0002	0.0000	0.0009	0.0004	0.0000	0.9991	0.0004	0.0000	0.0010	0.0004	0.0000	0.9990	0.0004	0.0000	0.0012	0.0005	0.0000	0.0006	48.8466	0.0001
LCG09	1766	3453976.0000	36452.0000	6657.0000	0.1927	3.7952	0.6129	0.0004	0.9996	0.0001	0.0000	0.0006	0.0003	0.0000	0.9994	0.0003	0.0000	0.0006	0.0002	0.0000	0.9994	0.0002	0.0000	0.0007	0.0003	0.0000	0.0001	48.9075	0.0004
XH	5415	6238821.0000	66633.0000	17396.0000	0.2788	4.1274	0.6472	0.0003	0.9994	0.0001	0.0000	0.0008	0.0003	0.0000	0.9992	0.0003	0.0000	0.0008	0.0003	0.0000	0.9992	0.0003	0.0000	0.0010	0.0004	0.0000	0.0004	48.8696	0.0003
FQ	2884	4534531.0000	48243.0000	10337.0000	0.2280	3.8711	0.6210	0.0004	0.9995	0.0001	0.0000	0.0006	0.0003	0.0000	0.9994	0.0003	0.0000	0.0007	0.0002	0.0000	0.9993	0.0002	0.0000	0.0008	0.0003	0.0000	0.0003	48.8933	0.0004
CX	7110	6997443.0000	74903.0000	21573.0000	0.3083	4.3386	0.6122	0.0003	0.9994	0.0002	0.0000	0.0008	0.0003	0.0000	0.9992	0.0003	0.0000	0.0009	0.0003	0.0000	0.9991	0.0003	0.0000	0.0010	0.0004	0.0000	0.0005	48.8561	0.0003
DF	6628	6869460.0000	73512.0000	20476.0000	0.2981	4.1892	0.5989	0.0003	0.9994	0.0002	0.0000	0.0008	0.0003	0.0000	0.9992	0.0003	0.0000	0.0009	0.0003	0.0000	0.9991	0.0003	0.0000	0.0010	0.0004	0.0000	0.0004	48.8607	0.0003
Q	5450	6265760.0000	66984.0000	17289.0000	0.2759	4.0969	0.6344	0.0003	0.9994	0.0001	0.0000	0.0008	0.0003	0.0000	0.9992	0.0003	0.0000	0.0008	0.0003	0.0000	0.9992	0.0003	0.0000	0.0009	0.0004	0.0000	0.0004	48.8707	0.0003
H	446	1079807.0000	11411.0000	1757.0000	0.1627	3.4356	0.3955	0.0006	0.9997	0.0001	0.0000	0.0005	0.0002	0.0000	0.9995	0.0002	0.0000	0.0005	0.0002	0.0000	0.9995	0.0002	0.0000	0.0006	0.0002	0.0000	0.0002	48.9230	0.0006
HM	5577	2842471.0000	30491.0000	3758.0000	0.1322	3.7607	0.5890	0.0005	0.9997	0.0001	0.0000	0.0004	0.0002	0.0000	0.9996	0.0002	0.0000	0.0004	0.0001	0.0000	0.9996	0.0001	0.0000	0.0005	0.0002	0.0000	0.0001	48.9368	0.0005
